*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=relayLED
*Date=16:40:33
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;78.6827;-58.5833;-90;Bottom;TXT6
108;;;7.58024;-11.4707;0;Bottom;Hole92
109;;;66.0002;-14.0107;0;Bottom;Hole106
110;;;40.8253;-9.11937;0;Bottom;TXT5
111;;;76.1602;-31.7907;0;Bottom;Hole45
112;;;10.2061;-49.3864;0;Bottom;TXT5
113;;;10.1202;-19.0907;0;Bottom;Hole90
114;;;10.1202;-3.85071;0;Bottom;Hole79
115;;;68.5403;-6.39066;0;Bottom;Hole24
116;;;38.0601;-3.8508;0;Bottom;Via25
117;;;25.2841;-54.7111;0;Bottom;TXT5
118;;;53.3001;-26.7108;0;Bottom;Via17
119;;;73.6203;-11.4707;0;Bottom;Hole3
120;;;68.5402;-21.6307;0;Bottom;Hole28
121;;;71.0803;-3.85066;0;Bottom;Hole15
122;;;7.58024;-14.0107;0;Bottom;Hole78
123;;;10.1202;-16.5507;0;Bottom;Hole84
124;;;66.0003;-6.39066;0;Bottom;Hole23
125;;;73.6202;-16.5507;0;Bottom;Hole33
126;;;53.3001;-3.8508;0;Bottom;Via24
127;;;5.04024;-11.4707;0;Bottom;Hole91
128;;;73.6203;-3.85066;0;Bottom;Hole14
129;;;5.04024;-3.85071;0;Bottom;Hole75
130;;;10.2008;-36.5272;0;Bottom;TXT5
131;;;69.0532;-48.8451;0;Bottom;TXT5
132;;;68.5402;-19.0907;0;Bottom;Hole27
133;;;12.6602;-34.3308;0;Bottom;Via19
134;;;7.58024;-26.7107;0;Bottom;Hole99
135;;;38.0601;-26.7108;0;Bottom;Via16
136;;;10.7054;-31.4297;0;Bottom;TXT5
137;;;9.69179;-71.7756;0;Bottom;TXT5
138;;;7.58024;-8.93071;0;Bottom;Hole87
139;;;73.6202;-26.7107;0;Bottom;Hole52
140;;5 mm [THT];75.4537;-54.6301;-90;Bottom;LED7
141;;TO220 [THT];27.9002;-35.8547;0;Bottom;Q4
142;;;7.58024;-6.39071;0;Bottom;Hole81
143;;;71.0802;-16.5507;0;Bottom;Hole29
144;;;73.6202;-36.8707;0;Bottom;Hole53
145;;;76.1602;-36.8707;0;Bottom;Hole55
146;;;38.0601;-49.5708;0;Bottom;Via7
147;;;55.7543;-31.8473;0;Bottom;TXT5
148;;;69.0811;-67.1455;0;Bottom;TXT5
149;;;76.1603;-6.39066;0;Bottom;Hole10
150;;;76.1602;-34.3307;0;Bottom;Hole49
151;;;5.04024;-21.6307;0;Bottom;Hole95
152;;;68.5402;-14.0107;0;Bottom;Hole26
153;;;71.0802;-21.6307;0;Bottom;Hole38
154;;1x01_offset;4.31634;-31.7907;-90;Bottom;JP5
155;;;35.5201;-34.3308;0;Bottom;Via13
156;;;73.6202;-19.0907;0;Bottom;Hole36
157;;;71.0803;-11.4707;0;Bottom;Hole4
158;;;73.6203;-8.93066;0;Bottom;Hole7
159;;;69.0275;-61.993;0;Bottom;TXT5
160;;;76.1602;-26.7107;0;Bottom;Hole54
161;;;7.58024;-24.1707;0;Bottom;Hole97
162;;;71.0802;-29.2507;0;Bottom;Hole56
163;;;5.04024;-6.39071;0;Bottom;Hole73
164;;;7.58024;-19.0907;0;Bottom;Hole88
165;;;73.6202;-34.3307;0;Bottom;Hole47
166;100;THT;49.8077;-64.8107;0;Bottom;R5
167;;;5.04024;-8.93071;0;Bottom;Hole85
168;;;55.8099;-54.5575;0;Bottom;TXT5
169;100;THT;34.5677;-41.9507;0;Bottom;R9
170;;;69.0944;-72.6391;0;Bottom;TXT5
171;;;76.1602;-29.2507;0;Bottom;Hole60
172;;;15.2002;-47.0308;0;Bottom;Via12
173;;;69.0698;-69.7452;0;Bottom;TXT5
174;;molex-1x2_lock;4.78624;-73.5737;-90;Bottom;JP1
175;;;35.5201;-11.4708;0;Bottom;Via22
176;;;76.1602;-19.0907;0;Bottom;Hole37
177;;;73.6202;-39.4107;0;Bottom;Hole59
178;;;76.1602;-14.0107;0;Bottom;Hole32
179;;;20.2802;-24.1708;0;Bottom;Via27
180;15k;THT;50.7602;-30.2032;90;Bottom;R12
181;;;10.1202;-6.39071;0;Bottom;Hole83
182;;;76.1603;-3.85066;0;Bottom;Hole13
183;;;71.0802;-19.0907;0;Bottom;Hole35
184;;;73.6202;-24.1707;0;Bottom;Hole46
185;;;76.1603;-8.93066;0;Bottom;Hole6
186;;;69.0698;-64.4249;0;Bottom;TXT5
187;100;THT;19.3277;-64.8107;0;Bottom;R1(100)
188;;;22.8202;-26.7108;0;Bottom;Via15
189;;;76.1602;-77.5107;0;Bottom;Hole65
190;;;17.7402;-72.4307;0;Bottom;Via5
191;;;30.3108;-54.7111;0;Bottom;TXT5
192;;;66.0003;-11.4707;0;Bottom;Hole18
193;;;22.8202;-49.5708;0;Bottom;Via3
194;;;12.6602;-3.85071;0;Bottom;Hole100
195;;5 mm [THT];75.4537;-67.3301;-90;Bottom;LED2
196;;;53.3001;-49.5708;0;Bottom;Via9
197;;;76.1602;-16.5507;0;Bottom;Hole34
198;;;10.1202;-14.0107;0;Bottom;Hole80
