*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Shield_Nefry
*Date=12:05:51
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
117;;;33.034;-9.41793;0;Bottom;Via653
118;;;48.0196;-19.526;0;Bottom;TXT5
119;;;10.1737;-24.6583;0;Bottom;Via638
120;;;2.55397;-34.8181;0;Bottom;Via664
121;;THT;7.63383;-28.4682;180;Bottom;J1
122;;;5.09397;-14.4979;0;Bottom;Via631
123;;;25.414;-37.3581;0;Bottom;Via244
124;;;38.114;-42.4381;0;Bottom;Via601
125;;;47.4726;-10.1037;0;Bottom;TXT5
126;;;40.8119;-11.7344;0;Bottom;TXT5
127;;;2.55397;-32.2781;0;Bottom;Via668
128;;;40.654;-6.87793;0;Bottom;Via683
129;;;38.1137;-39.8981;0;Bottom;Via644
130;;;7.63397;-22.1181;0;Bottom;Via622
131;;;38.114;-9.41793;0;Bottom;Via660
132;;;15.2537;-19.5783;0;Bottom;Via643
133;;;12.6056;-37.9736;90;Bottom;TXT5
134;;;12.714;-42.4381;0;Bottom;Via648
135;;;17.7937;-4.33818;0;Bottom;Via678
136;;;27.954;-34.8181;0;Bottom;Via245
137;;;20.334;-6.87793;0;Bottom;Via618
138;;;17.794;-42.4381;0;Bottom;Via647
139;;THT;7.63383;-8.14808;180;Bottom;J2
140;;;5.09397;-9.41793;0;Bottom;Via633
141;;;5.09397;-32.2781;0;Bottom;Via567
142;;;27.954;-14.4979;0;Bottom;Via572
143;;;22.874;-34.8181;0;Bottom;Via248
144;;;33.034;-42.4381;0;Bottom;Via607
145;;;40.8354;-14.3425;0;Bottom;TXT5
146;;;25.414;-11.9579;0;Bottom;Via575
147;;;45.734;-22.1181;0;Bottom;Via217
148;;;27.954;-37.3581;0;Bottom;Via241
149;;;5.09397;-24.6581;0;Bottom;Via569
150;;;30.494;-9.41793;0;Bottom;Via649
151;;;25.414;-42.4381;0;Bottom;Via596
152;;;12.7137;-4.33818;0;Bottom;Via640
153;;;30.494;-37.3581;0;Bottom;Via240
154;;;22.874;-42.4381;0;Bottom;Via608
155;;;40.887;-17.0306;0;Bottom;TXT5
156;;;43.194;-22.1181;0;Bottom;Via231
157;;;5.09397;-42.4381;0;Bottom;Via568
158;;;40.9903;-29.6947;0;Bottom;TXT5
159;;;48.1207;-34.6356;0;Bottom;TXT5
160;;;5.09397;-37.3581;0;Bottom;Via561
161;;;43.194;-11.9579;0;Bottom;Via228
162;;;27.954;-42.4381;0;Bottom;Via602
163;;;2.55397;-29.7381;0;Bottom;Via662
164;;;28.4032;-39.6419;0;Bottom;TXT4
165;;;25.414;-34.8181;0;Bottom;Via246
166;;;7.63397;-11.9579;0;Bottom;Via621
167;10k;THT;25.4138;-22.1182;180;Bottom;10K
168;;;45.734;-29.7381;0;Bottom;Via214
169;10k;THT;25.4138;-27.1982;180;Bottom;10K
170;;;40.9903;-32.176;0;Bottom;TXT5
171;;;15.254;-42.4381;0;Bottom;Via646
172;;;17.713;-39.3258;90;Bottom;TXT5
173;;;2.55397;-27.1981;0;Bottom;Via663
174;;;35.0804;-4.17646;0;Bottom;TXT5
175;;;48.0702;-29.5316;0;Bottom;TXT5
176;;;30.494;-6.87793;0;Bottom;Via651
177;;;20.334;-14.4979;0;Bottom;Via570
